                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.68365,                0.69475,                 1.0497,                0.86328,                0.84047,                0.88244,                0.69819,                0.79112,                0.80458,                 1.0939,             0.00051777,             0.00051777,             0.00051777
                     35,                0.68369,                0.70925,                 1.0584,                0.83735,                0.76771,                0.85546,                0.67545,                0.79925,                0.82852,                   1.13,             0.00051015,             0.00051015,             0.00051015
                     36,                0.64792,                0.65096,                 1.0351,                0.83043,                0.77109,                0.86592,                0.67782,                0.78335,                 0.8069,                 1.1048,             0.00050254,             0.00050254,             0.00050254
                     37,                0.65184,                0.63745,                 1.0418,                0.83107,                0.84761,                0.88303,                0.71638,                0.76201,                0.71902,                 1.1056,             0.00049493,             0.00049493,             0.00049493
                     38,                0.64567,                0.64193,                 1.0386,                0.78664,                0.77052,                0.84426,                 0.6857,                 0.7926,                0.86728,                 1.1369,             0.00048732,             0.00048732,             0.00048732
                     39,                  0.661,                0.63899,                 1.0386,                0.82771,                0.84999,                0.88041,                0.69566,                0.78061,                0.74878,                 1.0991,              0.0004797,              0.0004797,              0.0004797
                     40,                0.64037,                0.63549,                 1.0347,                 0.8574,                0.86991,                0.90255,                0.70501,                0.83262,                0.73956,                  1.151,             0.00047209,             0.00047209,             0.00047209
                     41,                0.63205,                0.62252,                 1.0342,                0.87237,                0.84792,                0.88509,                0.69105,                0.79116,                0.75335,                 1.1057,             0.00046448,             0.00046448,             0.00046448
                     42,                  0.641,                0.61941,                 1.0343,                  0.812,                 0.8166,                0.88153,                0.70553,                0.78825,                0.78333,                 1.1065,             0.00045686,             0.00045686,             0.00045686
                     43,                  0.631,                0.58147,                 1.0271,                0.83401,                0.83808,                0.86128,                0.69588,                0.78846,                0.79876,                 1.0952,             0.00044925,             0.00044925,             0.00044925
                     44,                0.63624,                0.61285,                 1.0364,                0.78791,                0.81862,                0.85666,                0.69038,                0.73577,                0.81649,                 1.0655,             0.00044164,             0.00044164,             0.00044164
                     45,                0.63171,                0.60647,                 1.0316,                0.81552,                 0.8921,                0.87558,                0.72663,                0.75082,                0.82678,                 1.0815,             0.00043402,             0.00043402,             0.00043402
                     46,                0.63282,                0.57719,                 1.0385,                0.85067,                0.90453,                0.90994,                0.73768,                0.71705,                0.66198,                  1.042,             0.00042641,             0.00042641,             0.00042641
                     47,                0.61782,                0.57814,                 1.0225,                 0.7829,                0.85336,                0.89019,                0.73559,                0.72985,                0.72844,                 1.0735,              0.0004188,              0.0004188,              0.0004188
                     48,                0.61887,                0.57507,                  1.032,                0.86346,                0.88827,                 0.9119,                0.74031,                0.75268,                0.72742,                 1.0816,             0.00041118,             0.00041118,             0.00041118
                     49,                0.62255,                0.59726,                 1.0434,                0.76583,                  0.904,                0.88917,                0.73294,                0.73914,                0.69267,                 1.0482,             0.00040357,             0.00040357,             0.00040357
                     50,                0.61347,                0.59646,                 1.0267,                0.78813,                0.86655,                0.88641,                0.71881,                0.72656,                0.70786,                 1.0709,             0.00039596,             0.00039596,             0.00039596
                     51,                0.61257,                0.54594,                 1.0151,                0.87576,                0.84871,                0.90899,                 0.7463,                0.74018,                0.63459,                  1.079,             0.00038835,             0.00038835,             0.00038835
