epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2548.44,0.74803,0.73645,1.04346,0.76925,0.82773,0.85947,0.65929,0.78246,0.87298,1.0561,0.000456863,0.000456863,0.000456863
43,2611.93,0.75689,0.7382,1.03608,0.78411,0.79041,0.85411,0.66272,0.81884,0.86351,1.07665,0.00044925,0.00044925,0.00044925
44,2673.78,0.73548,0.71937,1.03703,0.78771,0.77777,0.85911,0.66852,0.79176,0.82091,1.0661,0.000441637,0.000441637,0.000441637
45,2733.14,0.74631,0.73693,1.03226,0.73884,0.77767,0.8079,0.62545,0.78717,0.896,1.06616,0.000434024,0.000434024,0.000434024
46,2792.39,0.73942,0.70687,1.04141,0.72974,0.84508,0.83489,0.65926,0.79695,0.87796,1.06153,0.000426411,0.000426411,0.000426411
47,2850.9,0.75252,0.71666,1.03525,0.81629,0.8802,0.89376,0.68222,0.83447,0.77369,1.07349,0.000418797,0.000418797,0.000418797
48,2916.99,0.72657,0.71574,1.02687,0.79143,0.74979,0.82502,0.63825,0.8136,0.8677,1.08694,0.000411184,0.000411184,0.000411184
49,2978.67,0.73274,0.72978,1.03789,0.7808,0.82889,0.85839,0.67226,0.78807,0.80934,1.05867,0.000403571,0.000403571,0.000403571
50,3041.37,0.73178,0.71414,1.03399,0.75244,0.87714,0.88278,0.69499,0.7924,0.78707,1.06413,0.000395958,0.000395958,0.000395958
51,3103.19,0.75437,0.72274,1.04961,0.76217,0.85717,0.89068,0.69551,0.77444,0.76113,1.05492,0.000388345,0.000388345,0.000388345
52,3165.32,0.71313,0.67746,1.0262,0.79599,0.85113,0.85362,0.6696,0.78404,0.82306,1.06766,0.000380732,0.000380732,0.000380732
53,3227.46,0.70833,0.68006,1.01554,0.79733,0.87082,0.89762,0.71443,0.77235,0.76674,1.04708,0.000373119,0.000373119,0.000373119
54,3293.03,0.71419,0.69174,1.02865,0.79981,0.83727,0.85191,0.68178,0.76194,0.80116,1.06067,0.000365506,0.000365506,0.000365506
55,3354.08,0.7275,0.66609,1.02311,0.8013,0.73829,0.84881,0.67066,0.76718,0.88155,1.05676,0.000357893,0.000357893,0.000357893
56,3413.63,0.72311,0.68659,1.03478,0.75767,0.84297,0.84897,0.67811,0.77451,0.82464,1.04629,0.00035028,0.00035028,0.00035028
57,3474.8,0.68326,0.6316,1.01258,0.83208,0.80957,0.86853,0.7008,0.75081,0.76271,1.03709,0.000342666,0.000342666,0.000342666
58,3539.09,0.70815,0.64948,1.02744,0.84548,0.83784,0.87261,0.69143,0.76826,0.78668,1.06044,0.000335053,0.000335053,0.000335053
59,3599.47,0.69402,0.66089,1.02068,0.82876,0.82588,0.8562,0.67917,0.74515,0.79771,1.03837,0.00032744,0.00032744,0.00032744
60,3659.26,0.7231,0.63722,1.01971,0.81673,0.86764,0.87348,0.69166,0.76276,0.79666,1.04088,0.000319827,0.000319827,0.000319827
61,3718.22,0.69059,0.62988,1.01642,0.82696,0.91188,0.90701,0.71239,0.75633,0.706,1.04229,0.000312214,0.000312214,0.000312214
62,3782.74,0.7011,0.63868,1.01518,0.81766,0.83706,0.86828,0.69725,0.74146,0.76709,1.04753,0.000304601,0.000304601,0.000304601
63,3842.13,0.68804,0.6335,1.01494,0.84178,0.86637,0.88591,0.70775,0.76406,0.74764,1.04776,0.000296988,0.000296988,0.000296988
64,3905.19,0.70411,0.66749,1.02565,0.8262,0.84535,0.87796,0.69828,0.76228,0.75929,1.03227,0.000289375,0.000289375,0.000289375
65,3966.83,0.69859,0.63073,1.01987,0.82755,0.80885,0.88344,0.70946,0.75913,0.74472,1.04243,0.000281762,0.000281762,0.000281762
66,4027.29,0.68,0.60986,1.01137,0.85545,0.87124,0.90026,0.7251,0.78641,0.74207,1.0714,0.000274148,0.000274148,0.000274148
67,4087.1,0.66932,0.61404,1.01298,0.83394,0.79422,0.88545,0.70932,0.77265,0.73378,1.04724,0.000266535,0.000266535,0.000266535
68,4146.32,0.67263,0.61822,1.00853,0.7917,0.85973,0.86405,0.7017,0.74527,0.76262,1.03651,0.000258922,0.000258922,0.000258922
69,4206.25,0.68418,0.61558,1.01203,0.84051,0.8821,0.89004,0.70444,0.79017,0.72729,1.06064,0.000251309,0.000251309,0.000251309
70,4265.91,0.66526,0.59898,1.00192,0.81948,0.85682,0.88281,0.71774,0.72509,0.71533,1.03058,0.000243696,0.000243696,0.000243696
71,4325.62,0.67047,0.59127,1.00904,0.81491,0.85326,0.85971,0.68921,0.77496,0.85044,1.06757,0.000236083,0.000236083,0.000236083
72,4386.47,0.65665,0.58526,0.99855,0.86416,0.89971,0.90623,0.73733,0.75409,0.67026,1.03431,0.00022847,0.00022847,0.00022847
73,4460.8,0.66144,0.60489,0.99988,0.82119,0.88021,0.8881,0.71654,0.75456,0.68521,1.03028,0.000220857,0.000220857,0.000220857
74,4541.5,0.67611,0.60014,1.00636,0.85234,0.88948,0.90533,0.71958,0.76628,0.68648,1.03917,0.000213244,0.000213244,0.000213244
75,4605.18,0.6531,0.58023,0.99991,0.82775,0.86837,0.90744,0.72992,0.72995,0.67125,1.01895,0.000205631,0.000205631,0.000205631
76,4655.64,0.65139,0.59579,1.00077,0.80638,0.86676,0.86829,0.69293,0.76437,0.71751,1.04188,0.000198018,0.000198018,0.000198018
77,4700.94,0.67404,0.61433,1.00755,0.85901,0.86747,0.88485,0.7039,0.76971,0.67276,1.04244,0.000190404,0.000190404,0.000190404
78,4746.9,0.65398,0.56392,0.99717,0.87637,0.88298,0.89608,0.7142,0.76224,0.67046,1.04686,0.000182791,0.000182791,0.000182791
79,4792.57,0.64674,0.57028,0.98586,0.87002,0.89729,0.90213,0.72602,0.73805,0.66575,1.02225,0.000175178,0.000175178,0.000175178
80,4838.52,0.64542,0.58546,0.99684,0.84148,0.91162,0.90174,0.72674,0.74555,0.67518,1.03166,0.000167565,0.000167565,0.000167565
81,4884.15,0.69451,0.60242,1.01719,0.86692,0.87489,0.90445,0.7286,0.73514,0.68023,1.02195,0.000159952,0.000159952,0.000159952
82,4929.78,0.63494,0.54842,0.99419,0.82979,0.91411,0.89438,0.71904,0.73843,0.67289,1.02204,0.000152339,0.000152339,0.000152339
83,4975.08,0.63776,0.57034,0.9945,0.85545,0.90289,0.89113,0.73232,0.73324,0.66897,1.03327,0.000144726,0.000144726,0.000144726
84,5020.64,0.66789,0.59055,1.00581,0.86101,0.89596,0.90159,0.73078,0.74302,0.66804,1.0334,0.000137113,0.000137113,0.000137113
85,5067.26,0.6456,0.55953,0.99366,0.86907,0.87868,0.89834,0.72503,0.733,0.66947,1.0353,0.0001295,0.0001295,0.0001295
86,5115.51,0.63253,0.5327,0.99531,0.88613,0.8517,0.89405,0.72794,0.75272,0.649,1.03709,0.000121887,0.000121887,0.000121887
87,5165.39,0.64556,0.5604,0.99153,0.85669,0.87361,0.89778,0.72571,0.74318,0.68636,1.03321,0.000114273,0.000114273,0.000114273
88,5214.31,0.63619,0.56968,0.99169,0.89591,0.85314,0.91028,0.733,0.72575,0.66261,1.02477,0.00010666,0.00010666,0.00010666
89,5262.48,0.62229,0.54088,0.98466,0.87764,0.88368,0.90372,0.73545,0.74494,0.65114,1.03554,9.90472e-05,9.90472e-05,9.90472e-05
90,5311.8,0.62264,0.52855,0.98401,0.88831,0.84763,0.89536,0.72187,0.74126,0.65658,1.03478,9.14341e-05,9.14341e-05,9.14341e-05
91,5357.12,0.51539,0.46958,0.92766,0.87077,0.87664,0.88849,0.71032,0.76799,0.71943,1.0604,8.3821e-05,8.3821e-05,8.3821e-05
92,5401.83,0.49927,0.45367,0.92313,0.89097,0.84326,0.89688,0.71566,0.75397,0.68338,1.05828,7.62079e-05,7.62079e-05,7.62079e-05
93,5447.25,0.48819,0.38641,0.91397,0.88048,0.8853,0.89894,0.72633,0.7528,0.68867,1.049,6.85948e-05,6.85948e-05,6.85948e-05
94,5492.95,0.50261,0.38713,0.93336,0.86641,0.88775,0.90118,0.72791,0.74356,0.66683,1.04357,6.09817e-05,6.09817e-05,6.09817e-05
95,5537.26,0.49718,0.38779,0.94172,0.85854,0.87238,0.89078,0.71424,0.75393,0.686,1.04794,5.33686e-05,5.33686e-05,5.33686e-05
96,5581.71,0.4762,0.37228,0.91671,0.87053,0.89268,0.89527,0.71846,0.7426,0.67146,1.03705,4.57555e-05,4.57555e-05,4.57555e-05
97,5626.28,0.46519,0.35695,0.91102,0.87166,0.89656,0.90113,0.72646,0.73537,0.65247,1.03235,3.81424e-05,3.81424e-05,3.81424e-05
98,5670.88,0.49178,0.40892,0.93263,0.8583,0.90506,0.90411,0.73288,0.72636,0.6556,1.02392,3.05293e-05,3.05293e-05,3.05293e-05
99,5715.86,0.50241,0.43401,0.92111,0.87026,0.89633,0.9053,0.73295,0.72315,0.65789,1.02622,2.29162e-05,2.29162e-05,2.29162e-05
100,5760.97,0.46359,0.37676,0.90782,0.8755,0.8913,0.90735,0.73506,0.72206,0.653,1.02208,1.53031e-05,1.53031e-05,1.53031e-05
